playlist_year,track_name,album_name,album_release_date,track_duration_ms,track_popularity,artist_name,artist_id,artist_followers,artist_genres,artist_popularity
2020,Bruxelles je t’aime,Nonante-Cinq,2021-12-02,228211,52,Angèle,3QVolfxko2UyCOtexhVTli,2739511,"['belgian pop', 'french pop', 'variete francaise']",69
2020,Un homme,Meilleure vie,2021-02-19,157573,60,Jérémy Frerot,4lhtlpMg6j1absrQvXYlRK,134842,"['french pop', 'variete francaise']",59
2020,Tu t’en iras,Traîtrise,2021-12-03,206853,51,La Zarra,0NkmvuSD5Pm8zucjwIpChS,59548,['french pop'],51
2020,Des milliers de je t'aime,Chroniques d’un cupidon,2022-09-01,212800,63,Slimane,4OV6uYSnHxSYkjDYuBVBUz,1716021,['french pop'],67
2020,Facile - facile,Facile x Fragile (Version deluxe),2022-10-20,246173,46,Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,184565,"['chanson', 'french indie folk', 'french pop', 'nouvelle chanson francaise']",49
2020,Tahiti,Tahiti,2020-05-07,183223,47,Keen' V,5iZMWWLoDJH1u6Ru2rOEsd,735884,"['french pop', 'variete francaise']",54
2020,Le reste,Cœur,2021-06-11,218133,50,Clara Luciani,2oVrruuEI0Dr2I4NvLtQS0,837629,"['chanson', 'french pop']",59
2020,PS : Je t'aime,Panorama,2022-09-16,174213,45,Christophe Willem,0wb3S587JG0riRtdPA6PQD,220808,"['chanson', 'french pop']",47
2020,Mon cœur,La vitesse,2022-06-03,198973,50,Izïa,6T08mUIMB32dtqq5ryxQZ3,101362,"['french indie pop', 'french rock', 'nouvelle chanson francaise']",48
2020,Le temps est bon,Aller-retour,2019-12-13,203160,62,Bon Entendeur,2lwjwKfYZCuPEJOo8t32CD,271884,"['french indie pop', 'new french touch']",61
2020,Tout savoir,Et alors ?,2022-09-23,196120,57,Adé,3NIFl4tsySuu3eu8Yt8c0s,67726,"['french pop', 'nouvelle chanson francaise']",50
2021,Thank You (Not So Bad),Thank You (Not So Bad),2023-12-01,140000,82,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,3521958,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",75
2021,Stumblin' In,Stumblin' In,2023-11-10,213363,85,CYRIL,11kt6ggsdxvI8MhyeSMKom,285959,[],80
2021,I Don't Wanna Wait,I Don't Wanna Wait,2024-04-05,149667,86,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,26345783,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90
2021,Whatever,Whatever,2024-01-19,178273,77,Kygo,23fqKkggKUBHNkbKtXEls4,8476016,"['edm', 'pop', 'pop dance', 'tropical house']",82
2021,Not Alone (feat. Diana Goldberg),Not Alone (feat. Diana Goldberg),2024-10-18,165267,61,Gabry Ponte,5ENS85nZShljwNgg4wFD7D,573527,"['eurodance', 'italo dance', 'slap house']",76
2021,10:35,10:35,2022-11-03,172252,72,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,7538607,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84
2021,When We Were Young (The Logical Song),When We Were Young (The Logical Song),2023-11-10,147432,77,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,26345783,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90
2021,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],2023-06-15,231545,76,Peggy Gou,2mLA48B366zkELXYx7hcDN,987593,"['electra', 'float house']",68
2021,King Of My Castle,King Of My Castle,2024-04-12,153406,65,Naeleck,2DYDFBqoaBP2i9XrTGpOgF,92360,"['electro', 'hypertechno']",71
2021,Cynical,Cynical,2023-06-30,191365,7,twocolors,7ACEUD7UsmmXrnj4OLt8f9,105437,"['edm', 'pop dance', 'pop edm']",66
2021,Home Alone (with Marnik),Home Alone (with Marnik),2023-10-27,128031,66,Naeleck,2DYDFBqoaBP2i9XrTGpOgF,92360,"['electro', 'hypertechno']",71
2021,Lay Low,Lay Low,2023-01-06,153442,73,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,7538607,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84
2021,Voices (with Naeleck) [Dub],Voices (with Naeleck),2024-08-02,144936,49,NERVO,4j5KBTO4tk7up54ZirNGvK,740093,"['australian dance', 'dutch house', 'edm', 'electra', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",54
